Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
"Barrel-Aged Popinski: Peanut Butter and Marshmallow (no year, wax or ABV))",Angry Chair Brewing,84.99,4.49,11.5%,Stout - Russian Imperial,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2413383_718e7_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-aged-popinski-peanut-butter-and-marshmallow-no-year-wax-or-abv--384525"", ""Beer Page"")",United States,black,white,
Quarantine Lunchbreak,Aslin Beer Company,73.99,4.49,12.5%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-4340083_78d5b_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/quarantine-lunchbreak--384615"", ""Beer Page"")",United States,blue,red,
Double Barrel-Aged Rocky Road TBBW 2020,Angry Chair Brewing,108.99,4.48,11%,Stout - Imperial / Double Pastry,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-56815_7e223.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/double-barrel-aged-rocky-road-tbbw-2020--384537"", ""Beer Page"")",United States,unknown,unknown,
Society Blend #2,American Solera,89.99,4.48,13%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-4929418_233ec_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/society-blend-2--384487"", ""Beer Page"")",United States,yellow,black,
Imperial French Toast Barrel Royale TBBW 2020,Angry Chair Brewing,92.99,4.48,10.5%,Porter - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3574249_1e77e_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/imperial-french-toast-barrel-royale-tbbw-2020--384539"", ""Beer Page"")",United States,black,white,
Kings County Distraction,American Solera,89.99,4.47,13%,Stout - Imperial / Double,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-262817_c0b72.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/kings-county-distraction--384496"", ""Beer Page"")",United States,unknown,unknown,
Barrel-Aged Speedway Stout 2014,AleSmith Brewing Company,64.99,4.47,12%,Stout - Imperial / Double Coffee,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-2471_86d37.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-aged-speedway-stout-2014--384459"", ""Beer Page"")",United States,unknown,unknown,
"The Adjunct Trail (no year, wax or ABV)",Angry Chair Brewing,84.99,4.47,10.5%,Stout - Imperial / Double Milk,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2606033_71154_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/the-adjunct-trail-no-year-wax-or-abv--384544"", ""Beer Page"")",United States,black,white,
Bull of the Woods,Aslin Beer Company,50.00,4.47,13%,Stout - Imperial / Double Pastry,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-170844_e2a8f.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/bull-of-the-woods--384575"", ""Beer Page"")",United States,unknown,unknown,
Buku Cây Va Ni,Aslin Beer Company,61.99,4.47,18%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3229273_cefc6_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/buku-cay-va-ni--384571"", ""Beer Page"")",United States,white,black,
"Double Barrel Popinski (no year, wax or ABV)",Angry Chair Brewing,92.99,4.47,11%,Stout - Russian Imperial,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2541106_87459_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/double-barrel-popinski-no-year-wax-or-abv--384535"", ""Beer Page"")",United States,black,red,
Quadruple Lemur,American Solera,77.99,4.47,13%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-4674207_32479_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/quadruple-lemur--384499"", ""Beer Page"")",United States,white,black,
Barrel-Aged Unrepentant Transgression TBBW 2019,Angry Chair Brewing,92.99,4.47,11.5%,Stout - Imperial / Double Milk,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2825404_480d7_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-aged-unrepentant-transgression-tbbw-2019--384530"", ""Beer Page"")",United States,black,white,
